date,smb,hml,rmw,cma
1967-07-01,0.09807601130805313,0.011301042522321156,-0.0035019155131542773,0.07021213996915031
1967-08-01,0.03242474690457735,0.010406532277387491,-0.01589673071932651,0.021318453483085135
1967-09-01,0.04604449723315038,0.05082745185100816,0.005702923039671178,0.02554034621133816
1967-10-01,0.028740378218991336,-0.06492068979647382,0.07423256711577088,0.05640276409210591
1967-11-01,-0.09096486567410622,-0.0361519794035271,0.03653359658844062,0.040328895045014454
1967-12-01,0.0727212023031358,0.10619814316938771,-0.05274451343626984,0.09101426885147475
1968-01-01,0.0331262924524288,0.014748805004993428,-0.027347738085545806,-0.05202763478706929
1968-02-01,0.021594674698322082,-0.02855655016763098,0.04000192702930737,0.06544425072725406
1968-03-01,0.002642190629469905,-0.04382564673313882,-0.009770439480491423,0.0006212003901485061
1968-04-01,0.09722246099797524,-0.005289583713591867,0.029761559226573336,-0.022872354703219355
1968-05-01,0.07944338226266351,-0.0815157108063615,0.06887593039301564,-0.04595088461803628
1968-06-01,-0.047745046270907254,-0.01616918978168306,-0.025749642667739846,-0.03973543914535035
1968-07-01,0.02031224169056217,0.08101067264243954,-0.05315358920998636,0.00165842141033809
1968-08-01,0.029297249851260504,0.05385320994379516,-0.027326577041316143,-0.01549739197365952
1968-09-01,0.02870416579415971,0.050388813046773236,-0.04705700955046582,0.00688687478610716
1968-10-01,0.022863513847033452,0.041890918455838394,-0.03944288466449902,-0.003975186430045642
1968-11-01,0.017227034038839052,0.007289170927165342,0.015183314555470478,-0.008231019656408156
1968-12-01,0.05078813234527304,0.0048352774770149196,-0.013571756957613326,0.033942163466627234
1969-01-01,0.01335659056540113,0.024736710925934328,-0.02285553929875349,0.01315737278056162
1969-02-01,-0.04938199618261319,0.0058319285824640354,0.024256721891695907,0.03249057763619074
1969-03-01,-0.008836433331104059,0.04802896463548764,-0.043733462876493226,0.024720129298706255
1969-04-01,-0.008180414779413513,-0.007477730827348476,0.002696726999978357,0.01408871553122298
1969-05-01,0.021964872726313648,0.024586127679338116,-0.012974897552094838,-0.010497730725503172
1969-06-01,-0.07720406601435004,-0.06413241016155011,0.08716118766233101,0.0022231545956953314
1969-07-01,-0.042640938002151615,0.006347602199734598,0.005657430356659776,0.0006614475383368151
1969-08-01,0.009869262937092914,-0.01446172923246701,0.0007300407634844783,-0.023760695641882823
1969-09-01,-0.003483582419824941,-0.0008596480689303555,0.02111574625051734,0.019522431627491586
1969-10-01,0.02743572890210727,0.008447650326289677,-0.02347415753633105,0.00018487688576002137
1969-11-01,-0.045475719954351825,-0.04053817718080044,0.02900824648247019,-0.006594029665789619
1969-12-01,-0.05401605475442868,-0.044160537432492944,0.022825847173743388,-0.032988164104140294
1970-01-01,0.03461760493843363,0.005645199870080608,0.03291127080014379,0.0032588443845855547
1970-02-01,0.014120031745850782,0.09026265134428484,-0.05186691374887996,0.001495528382388936
1970-03-01,-0.02068018571424147,0.026393090809876295,-0.006092299303221419,0.015227193856666106
1970-04-01,-0.03770420276770034,0.04167300393145909,0.009039686100796168,0.031402803612140845
1970-05-01,-0.036132578381994004,-0.024137902147922552,0.015894593313126884,-0.007359767623308686
1970-06-01,-0.015515110385444827,0.014929348208877924,0.0088322558301977,0.01470311734349318
1970-07-01,0.008649128617852546,0.03611463577300988,-0.002526429327840758,0.03474712648168159
1970-08-01,0.002400922071756767,-0.01473358029235676,0.03279651447086536,0.0062156049297814875
1970-09-01,0.08033181728923941,-0.08431804705489948,0.0231820564282246,-0.09762555659627023
1970-10-01,-0.059319410379728585,-0.017191830650445092,0.035215624473824134,0.019118343482154
1970-11-01,-0.04521937314011532,0.015123717991427338,0.013178035474033371,0.042397728814251995
1970-12-01,0.028812583908287462,0.022169620985487512,-0.008770837265578868,0.019072559906078215
1971-01-01,0.09287443153987154,0.015044941392148292,-0.030021217910047873,-0.008355433892944727
1971-02-01,0.02899639895722388,-0.037231152197830915,0.03321442950172989,-0.012439911320203653
1971-03-01,0.019898884046211353,-0.04760033934032464,0.008893765637235651,-0.06625878719808574
1971-04-01,0.018657008206355536,0.04053749894042674,-0.010992268479812148,0.06591387189177762
1971-05-01,-0.021480547369768413,0.005545379113313986,-0.0030335277264416094,-0.014691118466401247
1971-06-01,-0.01864925717839483,-0.022638505915920176,0.023684849725223542,-0.04487130752088107
1971-07-01,-0.01715619572007373,0.0011740480245597817,-0.003398732504273881,0.005695013531624611
1971-08-01,0.004790177341783247,0.014505070137405332,-0.010670811155295334,0.01942500862637779
1971-09-01,-0.003088918356275023,-0.027379203061811862,0.023078636421275753,-0.01759846876836363
1971-10-01,-0.01731275538230214,-0.015275610183260062,0.02746076587414769,-0.01017718479733093
1971-11-01,-0.033485623218809234,-0.01959907900662983,0.01679931408391064,-0.006588756231591662
1971-12-01,0.03838189499421671,0.002004349389013768,0.0021067382126954137,-0.013375665316588042
1972-01-01,0.07147822952279995,0.015954646880035388,-0.011451701523134572,0.004791947829362805
1972-02-01,0.012669884315786781,-0.015667615476350795,0.010737602621383818,0.0010259394912744135
1972-03-01,-0.01011798833888858,-0.026645787918893733,0.008395058294719265,-0.003542402115793479
1972-04-01,0.004862827985553984,0.007310611829612864,-0.005673603852896098,-0.010776441933336591
1972-05-01,-0.03357445490068428,-0.016292270561145468,0.020219948187662297,-0.014626031161434048
1972-06-01,-0.0006873680404533983,-0.010890131630970856,0.0014129447429100245,0.011808890994497234
1972-07-01,-0.03455772483746274,-0.00831976833121355,0.02306684454562006,-0.011895857097592298
