date,smb,hml
1967-07-01,0.08895501740330929,0.07154380660103746
1967-08-01,0.03791052731120735,0.042859423060382464
1967-09-01,0.03462421461098776,0.05290334362772835
1967-10-01,0.0157162405339102,-0.010231882723091924
1967-11-01,-0.10309377133874265,-0.11917306023017801
1967-12-01,0.06444319239774884,0.10613374266263748
1968-01-01,0.025357075353096448,0.0607678048833589
1968-02-01,0.01270383547727004,-0.005658912007744786
1968-03-01,-0.0035066870688611257,-0.03358830962834394
1968-04-01,0.1252256737027334,0.09590899270480986
1968-05-01,0.1109745372189112,0.013696042797091239
1968-06-01,-0.04761010860993228,-0.04228009787633846
1968-07-01,0.0009248311538300608,0.042766802240548234
1968-08-01,0.01880299533008436,0.033808705913777784
1968-09-01,0.01148871311818114,0.053819981125194
1968-10-01,0.01009828232690622,0.05451465495308022
1968-11-01,0.028685098705948583,-0.0355025824327293
1968-12-01,0.041888417812738714,0.013715531485198943
1969-01-01,-0.013193221393583053,0.05976668983886275
1969-02-01,-0.052417187973283666,-0.0015696969951302375
1969-03-01,-0.023066393321157088,0.022535156947175297
1969-04-01,-0.010760342636001336,-0.0008227125802465138
1969-05-01,0.0268388093724298,-0.0028384370362185968
1969-06-01,-0.0753688172892627,-0.04026318871291171
1969-07-01,-0.05036221363086872,0.03583024370430113
1969-08-01,0.017557380368633614,-0.014738312437816044
1969-09-01,-0.0007351295673521593,-0.0049429264738348536
1969-10-01,0.021437094125990555,0.018509068411854623
1969-11-01,-0.032415034885510556,-0.03588999636552044
1969-12-01,-0.05148541450968736,-0.019508428684117417
1970-01-01,0.03281929700750054,0.002875204113507973
1970-02-01,0.011405901928098969,0.07246225080467794
1970-03-01,-0.02808706753580855,0.04142893167437935
1970-04-01,-0.04813659582896064,0.06794557909472018
1970-05-01,-0.032517641425620594,-0.02110160874392679
1970-06-01,-0.015800471672430094,0.03479523860499348
1970-07-01,0.0048049472611500985,0.01655613550266878
1970-08-01,0.0050794392724266835,0.0022340693394023586
1970-09-01,0.08526049644666414,-0.05763766332603443
1970-10-01,-0.059550932261862366,-0.010345438385374404
1970-11-01,-0.045127684205224255,0.0031054490662275128
1970-12-01,0.023287499352442155,0.029419672459545035
1971-01-01,0.09068881051420738,0.029301921417898932
1971-02-01,0.03567742261862979,-0.04487723038106796
1971-03-01,0.03059585738005797,-0.03531826081733049
1971-04-01,0.0023686774173778125,0.04440382843615724
1971-05-01,-0.01741553721967158,0.003974433802282164
1971-06-01,-0.0011095554753150945,-0.045102415143205433
1971-07-01,-0.014724838103147168,-0.0035475119611609734
1971-08-01,-0.006437496425454603,0.0361297068503551
1971-09-01,0.006771781787257687,-0.026448564838222215
1971-10-01,-0.014867102198879843,-0.0134781340014246
1971-11-01,-0.025057878133318237,-0.02317126780406863
1971-12-01,0.030007356259229276,0.0173923089679663
1972-01-01,0.061839694427928645,0.021672445342587415
1972-02-01,0.013672529940268765,-0.009440605765430161
1972-03-01,-0.005799614262015779,-0.013935310397111244
1972-04-01,0.0025746847634808266,0.007321502737425271
1972-05-01,-0.02370756051976325,-0.027599008352489372
1972-06-01,0.013919835619000783,-0.02942932607352001
1972-07-01,-0.03402572213120165,-0.005439995711872543
1972-08-01,-0.047537397213110434,0.06540152274990617
1972-09-01,-0.01471991401448304,-0.013639088241870673
1972-10-01,-0.02658658111600647,0.011074805917990073
1972-11-01,-0.007432513266578365,0.05456991257004699
1972-12-01,-0.022325529850806016,-0.03270724919425343
1973-01-01,-0.04652999000863195,0.027385684765167433
1973-02-01,-0.036113791463807686,-0.0024350273443599635
1973-03-01,-0.029111582428719023,0.03025164954278876
1973-04-01,-0.04682041000808817,0.04997939315513608
1973-05-01,-0.06416775369075746,-0.007071927238911584
1973-06-01,-0.035271630897523484,0.0028409879347298175
1973-07-01,0.08891668877668293,-0.025998089330714055
1973-08-01,-0.0219499192504331,0.008413948826693985
1973-09-01,0.05460815710280934,0.03947381260055253
1973-10-01,-0.002398428391412652,-0.004182096168205174
1973-11-01,-0.08108421414919267,0.0011912836591552178
1973-12-01,-0.040016270796663284,0.03585392724588208
1974-01-01,0.10000416908998783,0.07588966257651557
1974-02-01,-0.008653548978729086,0.032441211993570224
1974-03-01,0.019320023687633473,-0.00020447748643639962
1974-04-01,-0.02526070471909375,0.033357214433457946
1974-05-01,-0.03247099894917604,-0.031412327877611196
1974-06-01,-0.006334872409155375,0.012383369052538035
1974-07-01,0.01776786805572942,0.041902140133805346
1974-08-01,0.001355813214783827,0.022738691278969186
1974-09-01,0.014704170094267319,0.048343055655917525
1974-10-01,-0.009793642143373749,-0.11191925682762575
1974-11-01,-0.005903481596444521,0.0020531942134224684
1974-12-01,-0.045703027431463296,-0.003831547158424986
1975-01-01,0.09461287311692415,0.08712998925812229
1975-02-01,0.009010620174570341,-0.05816473075293037
1975-03-01,0.02811904671387959,0.0416140651723549
1975-04-01,-0.011143073513713325,-0.02019461837198369
1975-05-01,0.036487116033372756,-0.032453965070466065
1975-06-01,0.009091093449614292,0.026829870559646064
1975-07-01,0.024805524099722077,0.02752418623460684
1975-08-01,-0.0333151246113627,-0.012224472701265095
1975-09-01,0.004089029624161501,0.004231001928492038
1975-10-01,-0.045595703639256864,-0.008749070696177266
1975-11-01,-0.005614435775595082,0.010200033428787735
1975-12-01,-0.0060137645942933,0.021074557885490282
1976-01-01,0.06017049049659379,0.09140253068259482
1976-02-01,0.06618989514188907,0.07708007035556741
1976-03-01,-0.009800630075054665,-0.003862663099523371
1976-04-01,0.001172760504184302,-0.0020874348848859067
